city,distance_from_home
Tampere,161.00455990611567
Turku,151.2718525959445
Oulu,538.4016625019593
Lahti,99.586401103852
Jyvaskyla,236.39987485225782
Kuopio,336.6125852527007
Pori,224.96065133953562
Lappeenranta,203.71686934728015
Vaasa,370.63636369014927
Joensuu,373.5728120396614
Hameenlinna,94.96145706286948
Kokkola,418.5628726994397
Mikkeli,211.45228916847495
Rovaniemi,706.0300580296638
Kouvola,124.84991322841316
Mariehamn,277.0175885631499
Seinajoki,313.09920101647526
Kajaani,474.21227067872206
Savonlinna,284.7004894323084
Kemi,619.7191804105665
Porvoo,47.60557098004281
Sodankyla,811.324389503353
Kemijarvi,733.9462335524826
