city,distance_from_home
Madrid,322.6735549149658
Barcelona,469.66409776559277
Sevilla,698.7428087822317
Valencia,468.60934797258915
Zaragoza,244.425860898901
Malaga,736.0588328036038
Murcia,604.669864550048
Granada,677.9615100345194
Vigo,488.43964857467427
Las Palmas de Gran Canaria,2021.2530710886995
Palma,619.929051270034
A Coruna,445.5571909415575
Donostia,77.4999204587395
Santa Cruz de Tenerife,2028.2933823277158
Gijon,224.16220061831515
Valladolid,232.37663071122978
Cordoba,616.2908108639724
Alicante,581.7931071552235
Cadiz,796.8846611666692
Pamplona,114.72938819809008
Oviedo,235.56697448902585
Vitoria-Gasteiz,49.22826147012977
Santander,72.05031318137884
Cartagena,648.7511289084923
Marbella,766.0041728270203
Mataro,481.856899725227
Castellon de la Plana,436.17633045723835
Almeria,714.0872781375035
Burgos,117.26491610784507
Salamanca,339.76818703508
Albacete,480.26485813073094
Huelva,747.8472375652879
Logrono,95.76132243152408
Ciudad de Melilla,882.6194570582586
Badajoz,592.1050500119117
Leon,228.04030084890965
Tarragona,418.477279904333
Ourense,416.8315561505354
Jaen,612.9206092445072
Algeciras,820.16005736352
Santiago de Compostela,458.76942579626296
Ciudad de Ceuta,842.2981896364828
Toledo,386.5029512091737
Arrecife,1846.662678207263
Merida,560.3274402793385
Lorca,626.3059933288012
Guadalajara,291.2593424262283
Linares,576.8175292962013
